ID,Wind speed in km/h,Water temperature in degrees Celsius,Waterfowl population,Wave Action,Turbidity of water (NTUs)
9093,NA,22,20,Low,0.97
9094,NA,22,70,Low,0.46
9095,NA,20,7,Low,NA
9096,NA,21,12,Low,NA
9097,NA,22,25,Low,NA
9098,NA,22,NA,Low,NA
9099,NA,22,33,Low,NA
9100,NA,20,3,Low,NA
9101,NA,20,19,Low,NA
9102,NA,23,12,Low,NA
9103,5,24,35,Low,4.61
9104,5,22,59,Low,2.43
9105,5,18,12,Low,NA
9106,5,18,18,Low,NA
9107,5,18,13,Low,NA
9108,5,18,21,Low,NA
9109,5,21,23,Low,NA
9110,5,20,3,Low,NA
9111,5,20,24,Low,NA
9112,5,18,NA,Low,NA
9113,8,18,10,Low,0.73
9114,8,18,150,Low,0.6
9115,8,21,10,Low,NA
9116,8,21,NA,Low,NA
9117,8,21,25,Low,NA
9118,8,21,50,Low,NA
9119,8,23,15,Low,NA
9120,8,17,NA,Low,NA
9121,8,18,4,Low,NA
9122,8,18,14,Moderate,NA
9123,21,18,12,Moderate,1.31
9124,21,20,7,Moderate,0.66
9125,21,18,12,Low,NA
9126,21,20,3,Moderate,NA
9127,21,22,NA,Low,NA
9128,21,22,NA,Low,NA
9129,21,22,NA,Low,NA
9130,21,18,3,Moderate,NA
9131,21,18,23,Moderate,NA
9132,21,15,NA,High,NA
9133,13,18,15,Low,0.96
9134,13,18,40,Low,1.01
9135,13,18,12,Low,NA
9136,13,18,NA,Low,NA
9137,13,18,35,Low,NA
9138,13,18,9,Low,NA
9139,13,18,NA,Low,NA
9140,13,19,NA,Low,NA
9141,13,19,12,Low,NA
9142,13,20,NA,Low,NA
9143,NA,NA,NA,None,NA
9144,NA,NA,NA,None,NA
9145,NA,NA,NA,None,NA
9146,NA,NA,NA,None,NA
9147,NA,NA,NA,None,NA
9148,NA,NA,NA,None,NA
9149,NA,NA,NA,None,NA
9150,NA,NA,NA,None,NA
9151,NA,NA,NA,None,NA
9152,NA,NA,NA,None,NA
9153,8,6,25,Low,2.36
9154,8,6,8,Low,1.35
9155,8,9,NA,Low,NA
9156,8,9,NA,Low,NA
9157,8,9.5,NA,Low,NA
9158,8,10,NA,Low,NA
9159,8,10,5,Low,NA
9160,8,NA,NA,None,NA
9161,8,NA,NA,None,NA
9162,8,6,1,Low,NA
9163,8,14,60,Low,1.02
9164,8,15,20,Low,0.89
9165,8,12,50,Low,NA
9166,8,14,63,Low,NA
9167,8,14,18,Low,NA
9168,8,16,26,Low,NA
9169,8,16,17,Low,NA
9170,8,16,2,Low,NA
9171,8,15,30,Low,NA
9172,8,12,13,Low,2.05
9173,17,14,17,High,1.05
9174,17,16,26,High,1.74
9175,17,16,16,Moderate,NA
9176,17,17,18,Moderate,NA
9177,17,17,23,Moderate,NA
9178,17,17,16,Moderate,NA
9179,17,17,24,Moderate,NA
9180,17,17,5,Low,NA
9181,17,17,19,Low,NA
9182,17,17,200,Moderate,NA
9183,NA,22,20,Low,0.41
9184,NA,21,150,Low,0.39
9185,NA,18,15,Low,NA
9186,NA,18,25,Low,NA
9187,NA,18,125,Low,NA
9188,NA,18,15,Low,NA
9189,NA,18,40,Low,NA
9190,NA,22,2,Low,NA
9191,NA,22,15,Low,NA
9192,NA,22,21,Low,NA
9193,13,NA,NA,NA,NA
9194,13,21,27,High,0.88
9195,13,21,85,Moderate,NA
9196,13,22,25,Low,NA
9197,13,22,5,Low,NA
9198,13,22,10,Low,NA
9199,13,24,45,Low,NA
9200,13,19,10,Low,NA
9201,13,19,15,Low,NA
9202,13,24,45,Moderate,NA
9203,8,20,NA,Low,1.58
9204,8,20,200,Low,0.68
9205,8,18,16,Low,NA
9206,8,18,18,Low,NA
9207,8,18,22,Low,NA
9208,8,20,31,Low,NA
9209,8,20,39,Low,NA
9210,8,21,17,Low,NA
9211,8,21,4,Low,NA
9212,8,21,84,Low,NA
9213,4,21,12,Low,0.64
9214,4,20,27,Low,1.02
9215,4,20,12,Low,NA
9216,4,20,35,Low,NA
9217,4,21,19,Low,NA
9218,4,21,12,Low,NA
9219,4,22,15,Low,NA
9220,4,19,NA,Low,NA
9221,4,19,5,Low,NA
9222,4,14,70,Low,NA
9223,NA,NA,NA,None,NA
9224,NA,NA,NA,None,NA
9225,NA,NA,NA,None,NA
9226,NA,NA,NA,None,NA
9227,NA,NA,NA,None,NA
9228,NA,NA,NA,None,NA
9229,NA,NA,NA,None,NA
9230,NA,NA,NA,None,NA
9231,NA,NA,NA,None,NA
9232,NA,NA,NA,None,NA
9233,20,6,30,Low,0.91
9234,20,7,10,Low,1.2
9235,20,9,NA,Low,NA
9236,20,10,NA,Moderate,NA
9237,20,10,NA,Low,NA
9238,20,10,11,Low,NA
9239,20,10,11,Low,NA
9240,20,6,5,Moderate,NA
9241,20,6,2,Moderate,NA
9242,20,10,5,Low,NA
9243,NA,NA,NA,None,NA
9244,NA,NA,NA,None,NA
9245,NA,NA,NA,None,NA
9246,NA,NA,NA,None,NA
9247,NA,NA,NA,None,NA
9248,NA,NA,NA,None,NA
9249,NA,NA,NA,None,NA
9250,NA,NA,NA,None,NA
9251,NA,NA,NA,None,NA
9252,NA,NA,NA,None,NA
9253,8,10,NA,Low,1.39
9254,8,9,15,Low,2.35
9255,8,12,NA,NA,NA
9256,8,12,NA,NA,NA
9257,8,11,10,NA,NA
9258,8,12,NA,NA,NA
9259,8,12,9,NA,NA
9260,8,10,2,Low,NA
9261,8,10,7,Low,NA
9262,8,9,8,Low,NA
9263,8,10,3,Low,3.24
9264,8,9,50,Low,2.25
9265,8,11,1,Low,NA
9266,8,11,NA,Low,NA
9267,8,11,6,Low,NA
9268,8,11,2,Low,NA
9269,8,11,7,Low,NA
9270,8,7,1,Low,NA
9271,8,7,9,Low,NA
9272,8,8,20,Low,NA
9273,18,6,3,Low,0.42
9274,18,5,31,Low,0.8
9275,18,9,NA,Low,NA
9276,15,12,5,Low,NA
9277,15,12,25,Low,NA
9278,15,12,105,Low,NA
9279,11,14,50,Low,NA
9280,11,12,5,Low,NA
9281,11,10,13,Low,NA
9282,11,10,5,Low,NA
9283,5,10,34,Low,0.69
9284,5,10,70,Low,0.89
9285,5,8,60,Low,NA
9286,5,12,9,Low,NA
9287,5,12,7,Low,NA
9288,5,13,35,Low,NA
9289,5,15,20,Low,NA
9290,5,8,NA,Low,NA
9291,5,7,35,Low,NA
9292,5,8,6,Low,NA
9293,NA,10,10,Low,0.59
9294,NA,12,17,Low,0.6
9295,NA,8,56,Low,NA
9296,NA,10,35,Low,NA
9297,NA,10,16,Low,NA
9298,NA,14,17,Low,NA
9299,NA,16,23,Low,NA
9300,NA,6,1,Low,NA
9301,NA,6,40,Low,NA
9302,NA,9,20,Low,NA
9303,18,16,10,Moderate,1.56
9304,18,16,NA,Low,1.08
9305,18,17,50,Low,NA
9306,18,17,20,Low,NA
9307,18,17,100,Low,NA
9308,18,17,25,Low,NA
9309,18,17,40,Low,NA
9310,18,18,5,Moderate,NA
9311,18,18,11,Moderate,NA
9312,18,16,12,Low,NA
9313,5,8,NA,Low,0.83
9314,5,9,NA,Low,0.91
9315,5,12,300,Low,NA
9316,5,15,85,Low,NA
9317,5,16,70,Low,NA
9318,5,16,35,Low,NA
9319,5,18,45,Low,NA
9320,5,12,NA,Low,NA
9321,5,12,20,Low,NA
9322,5,11,100,Low,NA
9323,17,11,57,Moderate,1.26
9324,17,17,85,Moderate,0.73
9325,17,18,125,Low,NA
9326,17,15,10,Low,NA
9327,17,16,85,Low,NA
9328,17,18,45,Low,NA
9329,17,20,20,Low,NA
9330,17,12,2,Low,NA
9331,17,12,8,Low,NA
9332,17,12,56,Low,NA
9333,17,17,65,Low,1.08
9334,17,22,26,Low,1.14
9335,17,21,20,Low,NA
9336,17,18,10,Low,NA
9337,17,20,20,Low,NA
9338,17,24,25,Low,NA
9339,17,27,40,Low,NA
9340,17,18,NA,Low,NA
9341,17,18,27,Low,NA
9342,17,17,24,Low,NA
9343,5,19,8,Low,1.6
9344,5,20,42,Low,0.67
9345,5,20,55,Low,NA
9346,5,20,20,Low,NA
9347,5,20,35,Low,NA
9348,5,22,50,Low,NA
9349,5,24,85,Low,NA
9350,5,18,30,Low,NA
9351,5,17,15,Low,NA
9352,5,18,20,Low,NA
9353,15,20,30,Low,NA
9354,15,20,80,Low,NA
9355,15,18,12,Low,NA
9356,15,18,9,Low,NA
9357,15,20,13,Low,NA
9358,15,20,35,Low,NA
9359,15,22,17,Low,NA
9360,15,18,15,Low,NA
9361,15,18,2,Low,NA
9362,15,16,25,Low,NA
9363,5,6,7,Low,22.2
9364,5,6,15,Low,3.71
9365,5,8,NA,Low,NA
9366,5,8,NA,Moderate,NA
9367,5,8,8,Low,NA
9368,5,10,NA,Low,NA
9369,5,10,7,Low,NA
9370,5,10,3,Low,NA
9371,5,10,2,Low,NA
9372,5,11,NA,Moderate,NA
9373,7,7,6,Low,2.27
9374,7,8,30,Low,1.75
9375,7,10,1,NA,NA
9376,7,10,NA,NA,NA
9377,7,10,NA,NA,NA
9378,7,10,4,NA,NA
9379,7,10,17,NA,NA
9380,7,8,5,Low,NA
9381,7,8,3,Low,NA
9382,7,10,NA,NA,NA
9383,20,10,7,Low,2.58
9384,8,19,20,Low,0.69
9385,8,20,60,Low,0.43
9386,8,18,16,Low,NA
9387,8,18,18,Low,NA
9388,8,18,23,Low,NA
9389,8,20,19,Low,NA
9390,8,20,74,Low,NA
9391,8,20,8,Low,NA
9392,8,20,15,Low,NA
9393,8,20,16,Low,NA
9394,5,20,10,Low,0.93
9395,5,18,73,Low,0.76
9396,5,18,16,Low,NA
9397,5,18,18,Low,NA
9398,5,18,24,Low,NA
9399,5,20,19,Low,NA
9400,8,22,18,Low,NA
9401,8,25,1,Low,NA
9402,8,23,30,Low,NA
9403,8,21,NA,Low,NA
9404,5,17,5,Low,5.49
9405,5,18,30,Low,1.69
9406,5,18,85,Low,NA
9407,5,19,20,Low,NA
9408,5,21,150,Low,NA
9409,5,21,50,Low,NA
9410,5,21,100,Low,NA
9411,5,18,12,Low,NA
9412,5,18,7,Low,NA
9413,5,18,40,Low,NA
9414,9,19,42,Low,2.96
9415,9,20,16,Low,1.51
9416,9,20,45,Low,NA
9417,9,20,NA,Low,NA
9418,9,20,5,Low,NA
9419,9,24,NA,Low,NA
9420,9,25,65,Low,NA
9421,9,18,21,Low,NA
9422,9,18,7,Low,NA
9423,9,16,12,Low,NA
9424,11,17,5,Low,1.65
9425,11,18,35,Low,1.49
9426,11,18,12,Low,NA
9427,11,18,11,Low,NA
9428,11,18,10,Low,NA
9429,11,18,13,Low,NA
9430,11,20,14,Low,NA
9431,11,18,3,Low,NA
9432,11,18,20,Low,NA
9433,11,18,50,Low,NA
9434,NA,NA,NA,None,NA
9435,NA,NA,NA,None,NA
9436,NA,NA,NA,None,NA
9437,NA,NA,NA,None,NA
9438,NA,NA,NA,None,NA
9439,NA,NA,NA,None,NA
9440,NA,NA,NA,None,NA
9441,NA,NA,NA,None,NA
9442,NA,NA,NA,None,NA
9443,NA,NA,NA,None,NA
9444,NA,NA,NA,None,NA
9445,NA,NA,NA,None,NA
9446,NA,NA,NA,None,NA
9447,NA,NA,NA,None,NA
9448,NA,NA,NA,None,NA
9449,NA,NA,NA,None,NA
9450,NA,NA,NA,None,NA
9451,NA,NA,NA,None,NA
9452,NA,NA,NA,None,NA
9453,NA,NA,NA,None,NA
9454,30,6,15,High,2.2
9455,30,NA,NA,None,NA
9456,30,8,NA,Low,NA
9457,30,9,NA,High,NA
9458,30,9,NA,High,NA
9459,30,9,NA,Moderate,NA
9460,30,8,NA,Moderate,NA
9461,30,NA,NA,None,NA
9462,30,NA,NA,None,NA
9463,30,NA,NA,None,NA
9464,20,10,50,Low,4.62
9465,20,11,NA,Low,NA
9466,20,12,NA,Low,NA
9467,20,12,12,Low,NA
9468,20,10,1,Moderate,NA
9469,20,10,2,Low,NA
9470,20,11,5,Low,NA
9471,20,11,2,Low,NA
9472,20,13,NA,Moderate,NA
9473,15,6,10,Low,0.64
9474,15,7,42,Low,1.41
9475,15,10,NA,Low,NA
9476,15,10,NA,Moderate,NA
9477,15,11,2,Low,NA
9478,15,11,NA,Low,NA
9479,15,12,35,Low,NA
9480,15,6,3,Low,NA
9481,15,5,6,Low,NA
9482,15,8,48,Low,NA
9483,18,11,2,Low,NA
9484,18,11,4,Low,NA
9485,18,11,1,Low,NA
9486,18,12,27,Low,NA
9487,18,8,NA,Low,NA
9488,18,8,5,Low,NA
9489,18,8,12,Low,NA
9490,11,8,11,Low,0.77
9491,11,7,35,Low,0.77
9492,11,10,NA,NA,NA
9493,11,11,NA,NA,NA
9494,11,12,1,NA,NA
9495,11,11,NA,Low,NA
9496,11,14.5,13,Low,NA
9497,11,8,15,Low,NA
9498,5,13,31,Low,0.62
9499,5,14,24,Low,0.74
9500,5,12,56,Low,NA
9501,5,13,23,Low,NA
9502,5,13,36,Low,NA
9503,5,14,18,Low,NA
9504,5,16,42,Low,NA
9505,5,12,27,Low,NA
9506,5,12,13,Low,NA
9507,5,12,10,Low,NA
9508,11,17,18,High,1.53
9509,11,18,27,High,1.26
9510,11,18,NA,High,NA
9511,11,18,NA,High,NA
9512,11,19,75,High,NA
9513,11,19,24,Moderate,NA
9514,11,20,12,Moderate,NA
9515,11,19,2,Moderate,NA
9516,11,19,5,Moderate,NA
9517,11,20,7,High,NA
9518,5,15,12,Low,0.58
9519,5,12,135,Low,0.67
9520,5,15,56,Low,NA
9521,5,16,1,Low,NA
9522,5,16,14,Low,NA
9523,5,17,27,Low,NA
9524,5,18,12,Low,NA
9525,5,15,25,Low,NA
9526,5,15,34,Low,NA
9527,5,14,6,Low,NA
9528,26,18,132,High,4.42
9529,26,17,87,Moderate,1.22
9530,26,14,15,High,NA
9531,26,16,25,High,NA
9532,26,16,10,Moderate,NA
9533,26,18,15,Low,NA
9534,28,18,45,Low,NA
9535,28,20,NA,High,NA
9536,28,20,NA,High,NA
9537,28,18,80,Moderate,NA
9538,11,18,30,Low,2.68
9539,11,18,39,Low,0.77
9540,11,17,18,Low,NA
9541,11,17,16,Moderate,NA
9542,11,17,23,Low,NA
9543,11,17,31,Low,NA
9544,11,18,28,Low,NA
9545,11,15,7,Low,NA
9546,11,15,40,Low,NA
9547,11,18,18,Low,NA
9548,NA,20,15,Low,2.73
9549,NA,20,45,Low,0.91
9550,NA,18,19,NA,NA
9551,NA,19,35,NA,NA
9552,NA,20,72,NA,NA
9553,NA,18,5,Low,NA
9554,NA,18,12,Low,NA
9555,NA,18,12,Low,NA
9556,NA,17,48,Low,NA
9557,NA,20,100,Low,NA
9558,24,20,30,Low,0.69
9559,24,20,75,Low,1.47
9560,24,19,63,Moderate,NA
9561,24,20,NA,Low,NA
9562,24,29,12,NA,NA
9563,24,20,35,NA,NA
9564,24,21,92,NA,NA
9565,24,18,3,Low,NA
9566,24,18,15,Low,NA
9567,24,20,4,Low,NA
9568,17,18,25,Low,0.65
9569,17,20,60,Low,1.06
9570,17,17,18,Low,NA
9571,17,18,16,Low,NA
9572,17,18,23,Low,NA
9573,17,18,16,Low,NA
9574,17,20,17,Low,NA
9575,17,20,2,Low,NA
9576,17,20,27,Low,NA
9577,17,17,NA,Low,NA
9578,9,20,13,Low,1.02
9579,9,22,140,Low,0.74
9580,9,20,40,Low,NA
9581,9,20,NA,Low,NA
9582,9,20,NA,Low,NA
9583,9,20,NA,Low,NA
9584,9,21,32,Low,NA
9585,9,21,10,Low,NA
9586,9,21,25,Low,NA
9587,9,20,30,Moderate,NA
9588,5,17,35,Low,0.95
9589,5,18,90,Low,2.16
9590,5,19,16,Low,NA
9591,5,19,18,Low,NA
9592,5,19,23,Low,NA
9593,5,20,17,Low,NA
9594,5,22,28,Low,NA
9595,5,16,2,Low,NA
9596,5,16,7,Low,NA
9597,5,18,NA,Low,NA
9598,9,19,31,Low,0.75
9599,9,19,27,Low,0.8
9600,9,20,NA,Low,NA
9601,9,21,20,Low,NA
9602,9,21,100,Low,NA
9603,9,23,45,Low,NA
9604,9,24,65,Low,NA
9605,9,16,NA,Low,NA
9606,9,16,14,Low,NA
9607,9,15,200,Low,NA
9608,18,15,11,Moderate,1.12
9609,18,16,30,Low,0.83
9610,18,16,16,Low,NA
9611,18,16,18,Low,NA
9612,18,14,23,Low,NA
9613,18,16,16,Low,NA
9614,18,16,12,Low,NA
9615,18,20,2,Moderate,NA
9616,18,18,12,Moderate,NA
9617,18,18,17,Moderate,NA
9618,4,19,45,Moderate,0.63
9619,4,20,70,Low,0.48
9620,4,18,5,Low,NA
9621,4,18,NA,Low,NA
9622,4,18,NA,Low,NA
9623,4,18,5,Low,NA
9624,4,18,15,Low,NA
9625,4,20,NA,Moderate,NA
9626,4,20,7,Moderate,NA
9627,4,20,40,High,NA
9628,8,16,NA,Low,0.96
9629,8,18,40,Low,0.92
9630,8,16,16,Low,NA
9631,8,16,18,Low,NA
9632,8,16,23,Low,NA
9633,8,17,12,Low,NA
9634,8,17,13,Low,NA
9635,8,18,2,Low,NA
9636,8,19,5,Low,NA
9637,8,16,35,Low,NA
9638,11,18,35,Low,1.41
9639,11,18,45,Low,0.57
9640,11,18,50,Low,NA
9641,11,18,30,Moderate,NA
9642,11,20,185,Low,NA
9643,11,21,75,Low,NA
9644,11,22,100,Low,NA
9645,11,18,NA,Low,NA
9646,11,18,13,Low,NA
9647,11,15,NA,Low,NA
9648,NA,NA,NA,None,NA
9649,NA,NA,NA,None,NA
9650,NA,NA,NA,None,NA
9651,NA,NA,NA,None,NA
9652,NA,NA,NA,None,NA
9653,NA,NA,NA,None,NA
9654,NA,NA,NA,None,NA
9655,NA,NA,NA,None,NA
9656,NA,NA,NA,None,NA
9657,NA,NA,NA,None,NA
9658,15,10,3,Low,NA
9659,15,11,30,Low,4.72
9660,15,10,NA,NA,NA
9661,15,10,NA,NA,NA
9662,15,11,NA,NA,NA
9663,15,11,2,NA,NA
9664,15,11,11,NA,NA
9665,15,8,3,Low,NA
9666,15,8,7,Low,NA
9667,15,10,NA,Low,NA
9668,11,9,30,Low,NA
9669,11,8,NA,Low,NA
9670,17,9,16,Moderate,0.99
9671,17,9,32,Moderate,1.44
9672,17,11,NA,NA,NA
9673,17,11,2,Low,NA
9674,17,11,3,Low,NA
9675,17,12,14,Low,NA
9676,17,12,7,Low,NA
9677,17,7,NA,Moderate,NA
9678,17,7,NA,Moderate,NA
9679,17,9,NA,Moderate,NA
9680,5,10,64,Low,3.58
9681,5,9,35,Low,2.39
9682,5,12,NA,Low,NA
9683,5,12,NA,Moderate,NA
9684,5,12,NA,Low,NA
9685,5,11,NA,Low,NA
9686,5,11,9,Low,NA
9687,5,10,5,Moderate,NA
9688,5,10,15,Moderate,NA
9689,5,9,NA,Low,NA
9690,17,9,13,Low,1.23
9691,17,9,42,Low,1.16
9692,17,11,NA,Low,NA
9693,17,10.5,NA,Low,NA
9694,17,11,6,Low,NA
9695,17,11,2,Low,NA
9696,17,11,4,Low,NA
9697,17,10,NA,Low,NA
9698,17,10,7,Low,NA
9699,17,11,5,Low,NA
9700,17,9,15,High,3.78
9701,17,9,47,Low,1.39
9702,17,11,NA,Low,NA
9703,17,11,NA,Moderate,NA
9704,17,11,8,Moderate,NA
9705,17,12,4,Low,NA
9706,17,NA,NA,None,NA
9707,17,11,NA,Moderate,NA
9708,17,11,NA,Moderate,NA
9709,17,11,NA,Moderate,NA
9710,4,10,12,Low,2.1
9711,4,11,30,Low,2.05
9712,4,11,1,NA,NA
9713,4,11,NA,NA,NA
9714,4,11,2,NA,NA
9715,4,11,NA,NA,NA
9716,4,11,18,NA,NA
9717,4,10,10,Low,NA
9718,13,12,15,Low,0.71
9719,13,14,45,Low,0.78
9720,13,14,18,Low,NA
9721,13,16,30,Low,NA
9722,13,15,18,Low,NA
9723,13,15,20,Low,NA
9724,13,16,16,Low,NA
9725,13,14,12,Low,NA
9726,13,15,62,Low,NA
9727,13,16,8,Moderate,NA
9728,8,16,8,Low,4.7
9729,8,18,17,Low,1.63
9730,8,16,16,Moderate,NA
9731,8,16,18,Moderate,NA
9732,8,16,23,Moderate,NA
9733,8,17,16,Moderate,NA
9734,13,18,27,Moderate,NA
9735,13,16,NA,Low,NA
9736,13,15,11,Low,NA
9737,13,13,47,Moderate,NA
9738,17,9,15,Low,0.85
9739,17,14,25,Low,0.72
9740,17,10,60,Low,NA
9741,17,12,50,Low,NA
9742,17,12,49,Low,NA
9743,17,16,16,Low,NA
9744,17,18,18,Low,NA
9745,17,10,12,Low,NA
9746,17,10,54,Low,NA
9747,17,11,14,Low,NA
9748,9,13,21,Low,1.47
9749,9,14,39,Low,1.28
9750,9,16,67,Moderate,NA
9751,9,16,22,Moderate,NA
9752,9,15,9,Low,NA
9753,9,16,21,Low,NA
9754,9,17,19,Low,NA
9755,9,16,2,Low,NA
9756,9,16,16,Low,NA
9757,9,12,13,Low,NA
9758,15,9,30,Low,0.63
9759,15,9,80,Low,0.69
9760,15,12,16,Moderate,NA
9761,15,14,18,Low,NA
9762,15,15,26,Low,NA
9763,15,16,31,Low,NA
9764,15,19,19,Low,NA
9765,15,9,NA,Low,NA
9766,15,9,25,Low,NA
9767,15,10,16,Low,NA
9768,13,9,40,Low,1.31
9769,13,13,82,Low,1.28
9770,13,16,7,Low,NA
9771,13,16,25,Low,NA
9772,13,17,13,Low,NA
9773,13,18,52,Low,NA
9774,13,18,12,Low,NA
9775,13,10,NA,Low,NA
9776,13,10,20,Low,NA
9777,13,10,8,Low,NA
9778,21,13,8,Moderate,0.99
9779,21,14,120,Moderate,1.1
9780,21,16,28,NA,NA
9781,21,16,NA,NA,NA
9782,21,17,19,NA,NA
9783,21,18,7,Low,NA
9784,21,19,25,Low,NA
9785,21,16,NA,Low,NA
9786,21,15,100,Low,NA
9787,21,14,24,Moderate,NA
9788,18,18,26,Moderate,2.97
9789,18,18,17,Moderate,0.96
9790,18,16,100,Low,NA
9791,18,16,15,High,NA
9792,18,17,25,High,NA
9793,18,17,7,Low,NA
9794,28,18,33,Moderate,NA
9795,28,20,4,High,NA
9796,28,20,10,High,NA
9797,28,18,16,High,NA
9798,9,20,4,Low,1.31
9799,9,19,18,Low,0.94
9800,9,19,110,Low,NA
9801,9,20,NA,Low,NA
9802,9,20,70,Low,NA
9803,9,21,12,Low,NA
9804,9,22,35,Low,NA
9805,9,19,8,Low,NA
9806,9,18,15,Low,NA
9807,9,22,200,Low,NA
9808,15,20,15,Moderate,1.38
9809,15,21,20,Moderate,0.53
9810,15,21,20,Low,NA
9811,15,22,35,Low,NA
9812,15,21,15,Low,NA
9813,15,22,20,Low,NA
9814,15,26,55,Low,NA
9815,15,20,7,Moderate,NA
9816,15,20,15,Low,NA
9817,15,18,12,Low,NA
9818,22,27,25,Moderate,6.13
9819,22,23,200,High,2
9820,22,22,25,High,NA
9821,22,23,40,High,NA
9822,22,24,65,Moderate,NA
9823,22,25,35,Moderate,NA
9824,22,26,25,Moderate,NA
9825,22,20,3,Low,NA
9826,22,20,NA,Moderate,NA
9827,22,20,NA,Moderate,NA
9828,4,10,8,Low,0.63
9829,4,13,100,Low,1.19
9830,4,13,NA,NA,NA
9831,4,14,NA,NA,NA
9832,4,14,NA,NA,NA
9833,4,14,NA,NA,NA
9834,4,15,26,Low,NA
9835,4,7,NA,Low,NA
9836,4,7,1,Low,NA
9837,4,8,9,Low,NA
9838,5,11,4,Low,0.67
9839,5,12,25,Low,1.02
9840,5,13,2,NA,NA
9841,5,15,NA,NA,NA
9842,5,15,NA,NA,NA
9843,5,15,1,NA,NA
9844,5,17,17,NA,NA
9845,5,7,NA,Low,NA
9846,5,7,11,Low,NA
9847,5,9,3,Low,NA
9848,9,7,10,Low,0.78
9849,9,9,37,Low,1.44
9850,9,11,NA,Low,NA
9851,9,11,6,Low,NA
9852,9,13,3,Low,NA
9853,9,13,2,Low,NA
9854,9,15,14,Low,NA
9855,9,8,NA,Low,NA
9856,9,8,NA,Low,NA
9857,9,10,NA,Low,NA
9858,8,14,12,Low,1.78
9859,8,15,67,Low,1.69
9860,8,16,NA,Low,NA
9861,8,16,NA,Low,NA
9862,8,16,NA,Low,NA
9863,8,16,NA,Low,NA
9864,8,16,83,Low,NA
9865,8,16,2,Low,NA
9866,8,16,387,Low,NA
9867,8,16,10,Moderate,NA
9868,11,10,2,Low,0.82
9869,11,14,70,Low,1.53
9870,11,12,6,Low,NA
9871,11,14,12,Low,NA
9872,11,16,NA,Low,NA
9873,11,16,4,Low,NA
9874,11,18,16,Low,NA
9875,11,7,5,Low,NA
9876,11,7,3,Low,NA
9877,11,6,7,NA,NA
9878,NA,10,30,Low,1.01
9879,NA,12,40,Low,3.84
9880,NA,12,3,Low,NA
9881,NA,13,1,Low,NA
9882,NA,14,5,Low,NA
9883,NA,14,6,Low,NA
9884,NA,14,54,Low,NA
9885,NA,14,12,Low,NA
9886,NA,14,36,Low,NA
9887,NA,12,NA,Low,NA
9888,NA,12,15,Low,0.94
9889,NA,15,200,Low,1.01
9890,NA,14,7,NA,NA
9891,NA,13,1,Low,NA
9892,NA,13,4,Low,NA
9893,NA,17,1,Low,NA
9894,NA,20,19,Low,NA
9895,NA,15,55,NA,NA
9896,NA,15,78,NA,NA
9897,NA,11,63,Low,NA
9898,5,10,10,Low,1.25
9899,5,10,40,Low,0.92
9900,5,12,6,Low,NA
9901,5,16,3,Low,NA
9902,5,17,13,Low,NA
9903,5,15,4,Low,NA
9904,5,15,128,Low,NA
9905,5,16,10,Low,NA
9906,5,17,28,Low,NA
9907,5,13,37,Low,NA
9908,13,12,20,Moderate,2.47
9909,13,14,60,Low,1.13
9910,13,14,11,Low,NA
9911,13,15,2,Moderate,NA
9912,13,14,NA,Low,NA
9913,13,13,NA,Low,NA
9914,13,13,27,Low,NA
9915,13,18,6,Moderate,NA
9916,13,10,3,Moderate,NA
9917,13,16,20,Moderate,NA
9918,21,19,6,Low,1.39
9919,21,18,70,Low,2.69
9920,21,18,6,Moderate,NA
9921,21,18,NA,Moderate,NA
9922,21,16,NA,Moderate,NA
9923,21,17,7,Moderate,NA
9924,21,20,16,Low,NA
9925,21,19,8,Low,NA
9926,21,20,22,Low,NA
9927,21,16,5,Moderate,NA
9928,18,10,25,Moderate,0.77
9929,18,13,40,Low,1.41
9930,18,16,6,Moderate,NA
9931,18,17,14,Moderate,NA
9932,18,18,3,Moderate,NA
9933,18,20,2,Moderate,NA
9934,18,22,35,Moderate,NA
9935,18,6,8,Low,NA
9936,18,7,23,Low,NA
9937,18,3,105,Low,NA
9938,4,10,30,Low,NA
9939,4,11,30,NA,NA
9940,13,13,25,Low,2.1
9941,13,13,40,Low,5.63
9942,13,14,NA,Low,NA
9943,13,16,NA,Low,NA
9944,13,16,2,Low,NA
9945,13,16,NA,Low,NA
9946,13,16,78,Low,NA
9947,13,12,5,Low,NA
9948,13,12,12,Low,NA
9949,13,15,NA,Low,NA
9950,4,15,15,Moderate,1.42
9951,4,12,35,Moderate,6.08
9952,4,13,4,Moderate,NA
9953,4,13,NA,High,NA
9954,4,14,NA,Moderate,NA
9955,4,13,2,Moderate,NA
9956,4,14,46,Low,NA
9957,4,12,1,Moderate,NA
9958,4,12,4,Moderate,NA
9959,4,16,3,Moderate,NA
9960,11,12,10,Low,1.25
9961,11,15,50,Low,13.9
9962,11,16,NA,Low,NA
9963,11,15,4,Low,NA
9964,11,15,NA,Low,NA
9965,11,16,NA,Low,NA
9966,11,16,NA,Low,NA
9967,11,12,NA,Low,NA
9968,11,12,23,Low,NA
9969,11,11,NA,Low,NA
9970,11,11,25,Low,8.41
9971,11,13,45,Low,3.92
9972,11,14,NA,Low,NA
9973,11,14,NA,Low,NA
9974,11,14,NA,Low,NA
9975,11,14,NA,Low,NA
